date,ensemble
2022-01-03,1000000.0
2022-01-04,1002076.818121063
2022-01-05,995037.2273947446
2022-01-06,993591.0323383176
2022-01-07,996937.7189878728
2022-01-10,993210.1119529532
2022-01-11,1002667.6184316976
2022-01-12,1004647.825457813
2022-01-13,1001972.645822952
2022-01-14,999908.3793305128
2022-01-18,985413.1724381254
2022-01-19,976065.7263983268
2022-01-20,968201.3718473662
2022-01-21,951138.4278508262
2022-01-24,950432.3308501968
2022-01-25,944615.9521125412
2022-01-26,939645.03939373
2022-01-27,939644.4376985969
2022-01-28,965072.3655719107
2022-01-31,964107.2994476052
2022-02-01,966761.4938176424
2022-02-02,967721.0649391328
2022-02-03,954409.861060799
2022-02-04,955108.4175103458
2022-02-07,957738.104409943
2022-02-08,967581.7793908046
2022-02-09,976864.3484548876
2022-02-10,963523.9681176494
2022-02-11,946561.2878273204
2022-02-14,941364.0859717984
2022-02-15,955493.8300918468
2022-02-16,953777.1113764616
2022-02-17,932071.9588832516
2022-02-18,924855.5178814128
2022-02-22,917875.9554732136
2022-02-23,902862.6576686138
2022-02-24,910729.6043776248
2022-02-25,933964.1709882437
2022-02-28,930463.9857338604
2022-03-01,915022.7968039135
2022-03-02,930703.5305182614
2022-03-03,928331.5954104046
2022-03-04,921215.8960951924
2022-03-07,900652.7788885884
2022-03-08,895378.529602757
2022-03-09,919022.8522085386
2022-03-10,911833.5683319898
2022-03-11,904561.3846619306
2022-03-14,899388.532002709
2022-03-15,915717.215229874
2022-03-16,935074.3911200948
2022-03-17,946156.6268167348
2022-03-18,959868.28507956
2022-03-21,952797.3811255272
2022-03-22,963719.3192530258
2022-03-23,949160.18405111
2022-03-24,958294.4211898772
2022-03-25,961720.8873973206
2022-03-28,968156.489332856
2022-03-29,983996.7635362176
2022-03-30,975153.3161427124
2022-03-31,960084.9238205116
2022-04-01,963393.5766466532
2022-04-04,973337.9777735148
2022-04-05,957218.8743856516
2022-04-06,942351.7698535622
2022-04-07,941999.0071152276
2022-04-08,941104.0368408212
2022-04-11,930585.6993292512
2022-04-12,926832.7681341904
2022-04-13,934428.9879542894
2022-04-14,931060.154845048
2022-04-18,927333.6877269908
2022-04-19,939413.8057480974
2022-04-20,942398.1854157
2022-04-21,929781.8842984132
2022-04-22,897863.3932563524
2022-04-25,903303.5581454972
2022-04-26,879833.97861242
2022-04-27,888982.2101040467
2022-04-28,906728.5804808624
2022-04-29,880643.2076323176
2022-05-02,881935.0254385576
2022-05-03,882361.1638278322
2022-05-04,905992.4473630686
2022-05-05,878722.6992816019
2022-05-06,874258.5044044657
2022-05-09,858043.9180691424
2022-05-10,854533.2577542353
2022-05-11,853540.5032613191
2022-05-12,851604.8456001177
2022-05-13,861328.2685286951
2022-05-16,865075.817889596
2022-05-17,875282.4710115137
2022-05-18,874407.1931639948
2022-05-19,873991.9012138264
2022-05-20,873836.2352532058
2022-05-23,876779.422697435
2022-05-24,878803.7551954971
2022-05-25,879810.8149616333
2022-05-26,883622.2373484131
2022-05-27,888326.5253687145
2022-05-31,886596.3502768795
2022-06-01,881222.1741107954
2022-06-02,885798.7554993222
2022-06-03,880862.8328823828
2022-06-06,880625.9612680791
2022-06-07,885536.918806043
2022-06-08,879203.0807877248
2022-06-09,861392.7064971555
2022-06-10,842383.7770939
2022-06-13,820296.5247389005
2022-06-14,815092.9176845411
2022-06-15,818006.8128615735
2022-06-16,799434.0612703565
2022-06-17,802772.1776822638
2022-06-21,819792.4471086249
2022-06-22,815484.3310305838
2022-06-23,816443.191303224
2022-06-24,836704.9692514929
2022-06-27,836554.5181901983
2022-06-28,826916.1526461195
2022-06-29,824416.7772857832
2022-06-30,817729.8668724379
2022-07-01,825479.1915124106
2022-07-05,818204.3286635451
2022-07-06,817302.0897719435
2022-07-07,827549.6265609602
2022-07-08,826036.7501740622
2022-07-11,823583.0338787741
2022-07-12,823358.7601223654
2022-07-13,821210.4626145377
2022-07-14,816591.008349134
2022-07-15,831884.8358672156
2022-07-18,825730.2004462256
2022-07-19,846539.4281029906
2022-07-20,849242.3949113097
2022-07-21,853962.93617489
2022-07-22,856199.0415139403
2022-07-25,859595.4245209899
2022-07-26,854163.3080315795
2022-07-27,861758.996305963
2022-07-28,868359.004282495
2022-07-29,864686.2746491637
2022-08-01,863821.588912519
2022-08-02,860612.3420867287
2022-08-03,868888.0099795663
2022-08-04,865664.4826954324
2022-08-05,866391.6661060769
2022-08-08,868643.910384031
2022-08-09,869445.2660206277
2022-08-10,882925.8069904763
2022-08-11,882759.11994824
2022-08-12,894092.2587574441
2022-08-15,898457.4345386941
2022-08-16,905456.0028217752
2022-08-17,901312.3623646218
2022-08-18,901201.264906736
2022-08-19,895492.0069111306
2022-08-22,879412.9495380837
2022-08-23,872144.3419788796
2022-08-24,875341.5713795144
2022-08-25,884976.0467518289
2022-08-26,859188.6658314187
2022-08-29,854616.232649656
2022-08-30,847114.6172932107
2022-08-31,842639.7420185525
2022-09-01,848983.8671406228
2022-09-02,839126.8398884255
2022-09-06,834714.580595823
2022-09-07,847663.7214802224
2022-09-08,852784.0845936257
2022-09-09,859418.9017322976
2022-09-12,863414.2010792214
2022-09-13,828629.8644245584
2022-09-14,827854.0625294168
2022-09-15,828584.8336628396
2022-09-16,825816.1712177712
2022-09-19,831899.5102528054
2022-09-20,824862.1494282205
2022-09-21,811086.8436268289
2022-09-22,806096.1123188455
2022-09-23,795532.700239988
2022-09-26,785522.9161518533
2022-09-27,782354.8754566628
2022-09-28,798034.7810810525
2022-09-29,784886.0104664285
2022-09-30,773536.5350788552
2022-10-03,792433.3278034646
2022-10-04,813026.7313068826
2022-10-05,810786.6452349145
2022-10-06,802440.3583952385
2022-10-07,788937.7460783288
2022-10-10,786980.0689181115
2022-10-11,786814.3850427034
2022-10-12,785322.5804391267
2022-10-13,810173.1296067598
2022-10-14,799738.1023965242
2022-10-17,815831.5673013093
2022-10-18,824995.3536057832
2022-10-19,826924.6779427888
2022-10-20,826912.5675988557
2022-10-21,842807.4561601045
2022-10-24,853238.7542367341
2022-10-25,862601.2320847871
2022-10-26,853352.1195168855
2022-10-27,857860.4904809358
2022-10-28,877263.1120744111
2022-10-31,873428.833258188
2022-11-01,870349.6479058625
2022-11-02,859944.4652467134
2022-11-03,858705.3531747224
2022-11-04,873639.6902871492
2022-11-07,886939.9455933931
2022-11-08,895639.2214532258
2022-11-09,879524.208433664
2022-11-10,912597.6556001068
2022-11-11,912114.4426789643
2022-11-14,909246.0301003816
2022-11-15,912226.3573708894
2022-11-16,910574.59614805
2022-11-17,912948.9178300264
2022-11-18,918527.490049875
2022-11-21,917915.4754891756
2022-11-22,927668.9270501497
2022-11-23,931087.9072823884
2022-11-25,935288.6930146576
2022-11-28,920149.1083016756
2022-11-29,925305.5880990388
2022-11-30,945252.4123483064
2022-12-01,942087.6782327058
2022-12-02,946432.0688577058
2022-12-05,938210.5125108124
2022-12-06,925060.4862618806
2022-12-07,923825.394247568
2022-12-08,928910.3773370148
2022-12-09,921263.1304345492
2022-12-12,939200.8040566804
2022-12-13,944498.701200998
2022-12-14,942516.0692773224
2022-12-15,921613.7485947968
2022-12-16,912721.1948724152
2022-12-19,910812.346601999
2022-12-20,917980.9213471772
2022-12-21,931927.383055246
2022-12-22,917762.8406472566
2022-12-23,924766.1495957734
2022-12-27,926059.5327134492
2022-12-28,917217.71642164
2022-12-29,926389.0378671052
2022-12-30,925964.7282014252
2023-01-03,928265.7705903412
2023-01-04,936321.7151894928
2023-01-05,930286.585994066
2023-01-06,950030.957184839
2023-01-09,941434.7964140032
2023-01-10,945617.6754936615
2023-01-11,956393.4210958956
2023-01-12,962386.3081207026
2023-01-13,965866.9308480128
2023-01-17,958891.832169401
2023-01-18,942041.7650552272
2023-01-19,931797.2625369012
2023-01-20,945803.0170682848
2023-01-23,950916.8238187656
2023-01-24,952034.9260558452
2023-01-25,952097.583422365
2023-01-26,951131.6305956704
2023-01-27,954013.1382526451
2023-01-30,942886.5937085322
2023-01-31,954009.0225662898
2023-02-01,961745.5178298776
2023-02-02,972121.751916704
2023-02-03,963132.4397581958
2023-02-06,957643.6998137148
2023-02-07,969238.2354360104
2023-02-08,966449.4465610333
2023-02-09,957026.5186594486
2023-02-10,959507.0115923936
2023-02-13,975342.3961828632
2023-02-14,972123.4774471644
2023-02-15,967686.412602892
2023-02-16,953673.096460718
2023-02-17,954767.6151136112
2023-02-21,934468.6464874286
2023-02-22,931852.6473726978
2023-02-23,934905.4803791522
2023-02-24,922696.3557666186
2023-02-27,923525.8588562716
2023-02-28,916705.1922358036
2023-03-01,908707.5688546236
2023-03-02,915788.8954884586
2023-03-03,926165.6460563756
2023-03-06,930579.3406429272
2023-03-07,919009.9324722118
2023-03-08,915947.162956625
2023-03-09,904393.5216082134
2023-03-10,898542.7473803845
2023-03-13,905791.0639469166
2023-03-14,915207.5498959064
2023-03-15,917844.4070303822
2023-03-16,929985.0983191852
2023-03-17,927962.2734233856
2023-03-20,930142.8146254348
2023-03-21,933591.2141276398
2023-03-22,919426.6040081482
2023-03-23,923439.4339702836
2023-03-24,933572.1467217256
2023-03-27,938735.5673870754
2023-03-28,934903.1847684288
2023-03-29,945013.1127769738
2023-03-30,948248.7810917968
2023-03-31,959421.8463033944
2023-04-03,965749.9356699828
2023-04-04,969633.5683709488
2023-04-05,984924.6861039504
2023-04-06,985896.84914917
2023-04-10,984125.5711877366
2023-04-11,981439.7187448578
2023-04-12,978714.1517698976
2023-04-13,988471.753699089
2023-04-14,992611.4102023812
2023-04-17,993276.8843597831
2023-04-18,986864.3941393242
2023-04-19,986703.8558277474
2023-04-20,981479.1697798044
2023-04-21,981892.0311112672
2023-04-24,987763.6953621216
2023-04-25,979737.7555076944
2023-04-26,968361.510982792
2023-04-27,982730.0665095482
2023-04-28,988284.2852381326
2023-05-01,991569.8795667992
2023-05-02,976302.4987452507
2023-05-03,967238.0415355796
2023-05-04,957011.0387774088
2023-05-05,973430.787123951
2023-05-08,974052.5908464164
2023-05-09,968408.8965638848
2023-05-10,962320.1716455192
2023-05-11,957559.0772737236
2023-05-12,952982.3289979668
2023-05-15,950486.702849743
2023-05-16,933244.926288006
2023-05-17,940637.6104005548
2023-05-18,946680.8424600336
2023-05-19,938759.5099214287
2023-05-22,920408.7018464776
2023-05-23,921078.0611184807
2023-05-24,917334.3975785944
2023-05-25,908058.7559579584
2023-05-26,909702.074912426
2023-05-30,905483.4098390312
2023-05-31,900714.6100915642
2023-06-01,902777.6071771357
2023-06-02,920170.5002397272
2023-06-05,911879.9724763604
2023-06-06,913344.5942224236
2023-06-07,922540.932914135
2023-06-08,924036.7524675104
2023-06-09,924298.7808831902
2023-06-12,926544.2506746026
2023-06-13,929451.0368112298
2023-06-14,941526.503215191
2023-06-15,948530.3751367304
2023-06-16,948865.7268327448
2023-06-20,931460.0979074212
2023-06-21,934617.8691438409
2023-06-22,930698.9894975396
2023-06-23,923368.02389085
2023-06-26,932711.62494981
2023-06-27,937913.8360322686
2023-06-28,939716.669909832
2023-06-29,947368.5546029778
2023-06-30,948992.8739083976
2023-07-03,946533.9030946464
2023-07-05,941576.4220002862
2023-07-06,928622.1865838738
2023-07-07,924142.829989788
2023-07-10,928749.6004655038
2023-07-11,937195.5522201004
2023-07-12,941591.6612212908
2023-07-13,939268.3445561676
2023-07-14,934389.7528761828
2023-07-17,931626.5253861086
2023-07-18,936347.4397307206
2023-07-19,944684.5946585562
2023-07-20,936887.53796789
2023-07-21,941756.04573596
2023-07-24,942363.721720686
2023-07-25,941787.1638691542
2023-07-26,946075.6998301222
2023-07-27,938727.7436846982
2023-07-28,948217.1660986884
2023-07-31,953062.6099724218
2023-08-01,945660.6928583928
2023-08-02,932955.931493334
2023-08-03,933765.6048094732
2023-08-04,916979.3096726094
2023-08-07,919384.0373991338
2023-08-08,916941.7749577656
2023-08-09,912723.106378664
2023-08-10,911699.9369069234
2023-08-11,910861.2565785544
2023-08-14,913951.5159093038
2023-08-15,905161.6169377462
2023-08-16,900957.2942448752
2023-08-17,888856.4331837789
2023-08-18,889526.3819142476
2023-08-21,885401.8485737935
2023-08-22,883708.2570897237
2023-08-23,883920.7122136251
2023-08-24,872314.6166401998
2023-08-25,881566.2941685811
2023-08-28,887163.2675877706
2023-08-29,903681.1469441548
2023-08-30,911023.7072011128
2023-08-31,911887.2894765036
2023-09-01,918034.1560307638
2023-09-05,909370.0523091452
2023-09-06,896601.6241322652
2023-09-07,883025.1857396261
2023-09-08,882749.5818883077
2023-09-11,884408.8020726339
2023-09-12,878512.7766133443
2023-09-13,874215.1471959249
2023-09-14,881862.1475316182
2023-09-15,872584.3345280782
2023-09-18,874156.2679158346
2023-09-19,871841.5990620748
2023-09-20,862908.2484379903
2023-09-21,848503.7759801046
2023-09-22,847448.4987507955
2023-09-25,847172.6467229024
2023-09-26,836856.9653493062
2023-09-27,828925.4911671773
2023-09-28,831895.1310063497
2023-09-29,849055.84181415
2023-10-02,845079.8891087667
2023-10-03,843156.5394307271
2023-10-04,847335.3182316915
2023-10-05,847942.9507466451
2023-10-06,854299.6872490179
2023-10-09,859036.3491839353
2023-10-10,862169.3229741384
2023-10-11,865504.9823351041
2023-10-12,866474.1801640608
2023-10-13,863945.8491062719
2023-10-16,872258.8511326239
2023-10-17,871280.3484460623
2023-10-18,863088.4408388045
2023-10-19,860815.134029894
2023-10-20,856313.4897248709
2023-10-23,851144.7003646432
2023-10-24,866622.1499587595
2023-10-25,857064.2846204302
2023-10-26,846345.4637859728
2023-10-27,835334.4801774294
2023-10-30,851237.7805958445
2023-10-31,858300.7564649241
2023-11-01,860596.2578712809
2023-11-02,875404.1658457987
2023-11-03,886430.2765379678
2023-11-06,885338.53999004
2023-11-07,886331.0958529665
2023-11-08,883253.3201083223
2023-11-09,871060.3184041712
2023-11-10,876180.8249229281
2023-11-13,875913.5389512331
2023-11-14,885953.8213019259
2023-11-15,891952.3617254755
2023-11-16,888852.9093556311
2023-11-17,887964.0686648771
2023-11-20,888853.5740418835
2023-11-21,887343.2562608166
2023-11-22,892294.4526966496
2023-11-24,895625.9099507694
2023-11-27,893325.4565351924
2023-11-28,893214.3822958526
2023-11-29,894506.3312437591
2023-11-30,905474.655866867
2023-12-01,912716.139650589
2023-12-04,912544.3595640716
2023-12-05,909542.3207190094
2023-12-06,907674.0319960174
2023-12-07,910115.9960501252
2023-12-08,914435.31113649
2023-12-11,916887.7036192474
2023-12-12,920204.8211729584
2023-12-13,932622.3711073456
2023-12-14,941484.6854574736
2023-12-15,940513.8069937286
2023-12-18,938606.4802839812
2023-12-19,945258.3412649689
2023-12-20,932678.759950882
2023-12-21,938752.0498488006
2023-12-22,940200.4852583464
2023-12-26,944824.37206102
2023-12-27,947705.0374624786
2023-12-28,949244.3348143158
2023-12-29,949239.235265976
2024-01-02,953355.172476059
2024-01-03,946892.4942419586
2024-01-04,948324.0172751008
2024-01-05,949913.3505079804
2024-01-08,956009.5037559893
2024-01-09,950737.1087179031
2024-01-10,950720.3756308825
2024-01-11,951765.3685340768
2024-01-12,946512.5790956364
2024-01-16,944070.2661515753
2024-01-17,942081.3609773198
2024-01-18,942665.4210206548
2024-01-19,949875.7343141118
2024-01-22,956319.3787843266
2024-01-23,952697.3987199344
2024-01-24,949101.848274378
2024-01-25,953098.1197663824
2024-01-26,954105.4039613286
2024-01-29,959953.299293665
2024-01-30,966799.1277162114
2024-01-31,958358.6960908452
2024-02-01,962148.8100358524
2024-02-02,967919.249847559
2024-02-05,958173.8652879276
2024-02-06,962980.8100511112
2024-02-07,968019.0866471806
2024-02-08,972868.6416245976
2024-02-09,968952.101852564
2024-02-12,975178.0477143804
2024-02-13,960463.721130518
2024-02-14,964066.9196321048
2024-02-15,976267.7066728154
2024-02-16,974254.557975916
2024-02-20,975492.5780259648
2024-02-21,977933.5383836308
2024-02-22,985800.8083421268
2024-02-23,986440.2663270512
2024-02-26,986044.1232530156
2024-02-27,981974.3895112552
2024-02-28,981151.476120142
2024-02-29,979947.0883485356
2024-03-01,980405.138809351
2024-03-04,979126.6079789676
2024-03-05,971206.4543382206
2024-03-06,972264.3443986456
2024-03-07,973985.5077668704
2024-03-08,974300.0634767094
2024-03-11,980840.4802400152
2024-03-12,983665.175666956
2024-03-13,986150.5994416752
2024-03-14,981241.2089311162
2024-03-15,976763.100189356
2024-03-18,976924.9205781498
2024-03-19,984736.1291581668
2024-03-20,994897.7643739262
2024-03-21,1006518.0187684576
2024-03-22,999241.1643907108
2024-03-25,996656.0177613774
2024-03-26,998712.846634058
2024-03-27,1010366.5177461186
2024-03-28,1014291.9060746708
2024-04-01,1008383.3147203008
2024-04-02,995677.5096589604
2024-04-03,996052.0331803836
2024-04-04,981984.6636430302
2024-04-05,987985.050087122
